Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x3e195840	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	696	svchost.exe	-
0x3e195840	TCPv6	::	135	::	0	LISTENING	696	svchost.exe	-
0x3e1ab8f0	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	404	wininit.exe	-
0x3e1fe300	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	744	svchost.exe	-
0x3e1fe300	TCPv6	::	49153	::	0	LISTENING	744	svchost.exe	-
0x3e1fecd0	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	744	svchost.exe	-
0x3e5f7cd0	UDPv4	0.0.0.0	3702	*	0		1348	svchost.exe	2023-06-22 12:05:10.000000 
0x3e5f7cd0	UDPv6	::	3702	*	0		1348	svchost.exe	2023-06-22 12:05:10.000000 
0x3e963ad0	TCPv4	127.0.0.1	9050	0.0.0.0	0	LISTENING	3012	taskhsvc.exe	-
0x3ec2d010	TCPv4	127.0.0.1	50313	127.0.0.1	50314	ESTABLISHED	-	-	N/A
0x3ec4f620	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	404	wininit.exe	-
0x3ec4f620	TCPv6	::	49152	::	0	LISTENING	404	wininit.exe	-
0x3ecb1220	TCPv4	127.0.0.1	50314	127.0.0.1	50313	ESTABLISHED	-	-	N/A
0x3f1fd6f0	TCPv4	0.0.0.0	554	0.0.0.0	0	LISTENING	2968	wmpnetwk.exe	-
0x3f1fd6f0	TCPv6	::	554	::	0	LISTENING	2968	wmpnetwk.exe	-
0x3f2284c0	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	516	lsass.exe	-
0x3f3ced90	UDPv4	0.0.0.0	3702	*	0		1348	svchost.exe	2023-06-22 12:05:10.000000 
0x3fc02ca0	TCPv4	0.0.0.0	554	0.0.0.0	0	LISTENING	2968	wmpnetwk.exe	-
0x3fc4f600	TCPv4	127.0.0.1	55206	127.0.0.1	9050	ESTABLISHED	-	-	N/A
0x3fca6010	TCPv4	0.0.0.0	2869	0.0.0.0	0	LISTENING	4	System	-
0x3fca6010	TCPv6	::	2869	::	0	LISTENING	4	System	-
0x3fcfd930	UDPv4	127.0.0.1	1900	*	0		1348	svchost.exe	2023-06-22 12:06:48.000000 
0x3fd1bbf0	UDPv6	::1	61543	*	0		1348	svchost.exe	2023-06-22 12:06:48.000000 
0x3fd28310	UDPv4	127.0.0.1	61544	*	0		1348	svchost.exe	2023-06-22 12:06:48.000000 
0x3fd2b420	UDPv6	::1	1900	*	0		1348	svchost.exe	2023-06-22 12:06:48.000000 
0x3fd4a4a0	UDPv4	0.0.0.0	5004	*	0		2968	wmpnetwk.exe	2023-06-22 12:06:48.000000 
0x3fd4a4a0	UDPv6	::	5004	*	0		2968	wmpnetwk.exe	2023-06-22 12:06:48.000000 
0x3fd4aa90	UDPv4	0.0.0.0	5005	*	0		2968	wmpnetwk.exe	2023-06-22 12:06:48.000000 
0x3fd4adb0	UDPv4	0.0.0.0	5004	*	0		2968	wmpnetwk.exe	2023-06-22 12:06:48.000000 
0x3fd5fec0	UDPv4	0.0.0.0	5005	*	0		2968	wmpnetwk.exe	2023-06-22 12:06:48.000000 
0x3fd5fec0	UDPv6	::	5005	*	0		2968	wmpnetwk.exe	2023-06-22 12:06:48.000000 
0x3fe604f0	TCPv4	127.0.0.1	9050	127.0.0.1	55206	ESTABLISHED	-	-	N/A
