Volatility 3 Framework 2.7.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0xfa80117c5f20	0x90	File	0x2020003	\Device\HarddiskVolume2\System Volume Information\Syscache.hve
4	System	0xfa8002480b10	0x94	TmRm	0x1f007f	
4	System	0xfa800f7fd7d0	0x98	File	0x120089	\Device\HarddiskVolume2\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}
4	System	0xfa8001ce39a0	0x9c	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\SOFTWARE.LOG1
4	System	0xfa800b429550	0xa0	TmRm	0x12007f	
4	System	0xfa800c4872c0	0xa4	TmTm	0xf003f	
4	System	0xfa800b4b7410	0xa8	TmRm	0x1f007f	
4	System	0xfa800b4b7b60	0xac	File	0x12019f	\Device\clfsKtmLog
4	System	0xfa800c4871a0	0xb0	File	0x13019f	\Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xfa800c487910	0xb4	File	0x12019f	\Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xfa800e1f9630	0xb8	File	0x13019f	\Device\clfs
4	System	0xfa800fff9b60	0xbc	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xfa800c544b60	0xc0	File	0x1	\Device\HarddiskVolume2
4	System	0xfa80113ff470	0xc4	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xfa80117fd5e0	0xc8	File	0x12019f	\Device\HarddiskVolume2
4	System	0xfa800c9cc900	0xcc	File	0x12019f	\Device\clfsTxfLog
4	System	0xfa800e1f9780	0xd0	File	0x2020003	\Device\HarddiskVolume1\Boot\BCD
4	System	0xf8a0000931f0	0xd4	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
4	System	0xf8a0002f0040	0xd8	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\1
4	System	0xf8a0002cc980	0xdc	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\PCW\SECURITY
4	System	0xfa8001866740	0xe4	Thread	0x1fffff	Tid 180 Pid 4
4	System	0xfa8000ca8860	0xe8	Process	0x1440	System Pid 4
4	System	0xfa8001866040	0xec	Thread	0x1fffff	Tid 176 Pid 4
4	System	0xf8a0001c4ea0	0xf0	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\DISK
4	System	0xf8a0002d9ac0	0xf4	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\POLICIES
4	System	0xf8a0002cd6c0	0xf8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xf8a0002ee300	0xfc	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\23
4	System	0xf8a0002e1fa0	0x100	Key	0x2	MACHINE\SYSTEM\RNG
4	System	0xfa8009d61500	0x104	File	0x2000003	\Device\HarddiskVolume1\Boot\BCD.LOG
4	System	0xf8a000331ba0	0x108	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
4	System	0xf8a0002d0130	0x10c	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\131
4	System	0xf8a0002f0b90	0x110	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24
4	System	0xf8a0002f09b0	0x114	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\6
4	System	0xf8a0002f07d0	0x118	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71
4	System	0xf8a000004b60	0x11c	Token	0xf01ff	
4	System	0xf8a0003338c0	0x120	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER
4	System	0xf8a0007c4de0	0x124	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xfa800288a350	0x128	Event	0x1f0003	UniqueSessionIdEvent
4	System	0xf8a0003fad50	0x12c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xfa8001a66c90	0x130	ALPC Port	0x1f0001	SeRmCommandPort
4	System	0xfa8001a68b40	0x134	File	0x120089	\Device\HarddiskVolume2\System Volume Information\{e56da659-10d9-11ee-845d-90e8682d3ffa}{3808876b-c176-4e48-b7ae-04046e6cc752}
4	System	0xfa800e1f75c0	0x138	File	0x2020003	\Device\HarddiskVolume2\Windows\System32\config\SOFTWARE
4	System	0xf8a000333e00	0x13c	Directory	0xf000f	Harddisk0
4	System	0xfa8001ae6a20	0x140	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\SOFTWARE.LOG2
4	System	0xfa80101984b0	0x144	File	0x12019f	\Device\clfsTxfLog
4	System	0xfa8001d0c980	0x148	File	0x3	\Device\HarddiskVolume2\Windows\System32\config\SYSTEM.LOG2
4	System	0xfa8001ae6b50	0x14c	File	0x20003	\Device\HarddiskVolume2\Windows\System32\config\SYSTEM
4	System	0xfa8001d0ba10	0x150	File	0x3	\Device\HarddiskVolume2\Windows\System32\config\SYSTEM.LOG1
4	System	0xfa8001d0cab0	0x154	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\SYSTEM
4	System	0xf8a000320d50	0x158	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDPROXY
4	System	0xfa8002474040	0x15c	Thread	0x0	Tid 332 Pid 4
4	System	0xfa80022edf20	0x160	File	0x12019f	\Device\HarddiskVolume2\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms
4	System	0xf8a000331b00	0x164	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E972-E325-11CE-BFC1-08002BE10318}\0001
4	System	0xf8a0007cc630	0x168	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E972-E325-11CE-BFC1-08002BE10318}\0000
4	System	0xfa800247a280	0x16c	File	0x12019f	\Device\HarddiskVolume2\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
4	System	0xfa80028022c0	0x170	File	0x12008b	\Device\HarddiskVolume2\Windows\System32\wdi\LogFiles\WdiContextLog.etl.001
4	System	0xfa8002475a80	0x174	File	0x13008b	\Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
4	System	0xfa800254ecd0	0x178	File	0x12019f	\Device\clfs
4	System	0xfa800247f790	0x17c	File	0x12019f	\Device\HarddiskVolume2\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
4	System	0xfa800254e560	0x180	File	0x12019f	\Device\clfs\SystemRoot\System32\Config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM
4	System	0xfa8002480db0	0x184	TmRm	0x1f007f	
4	System	0xfa800254e680	0x188	TmTm	0xf003f	
4	System	0xf8a00441b1c0	0x18c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a0044218a0	0x190	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004425040	0x194	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441f040	0x198	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004423a70	0x19c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441f1e0	0x1a0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004423600	0x1a4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004425ce0	0x1a8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441b7f0	0x1ac	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004418ad0	0x1b0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\INITVERBS
4	System	0xf8a00441ffa0	0x1b4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441ff00	0x1b8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441fa80	0x1bc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004425c40	0x1c0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004423d60	0x1c4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004421800	0x1c8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a0044258e0	0x1cc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a004418980	0x1d0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441f8b0	0x1d4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441a360	0x1d8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xfa8002812f20	0x1dc	File	0x100001	\Device\KsecDD
4	System	0xf8a0044257a0	0x1e0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a0044259f0	0x1e4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xf8a00441b650	0x1e8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xfa8002848900	0x1ec	Event	0x2	EFSInitEvent
4	System	0xfa8002841050	0x1f0	File	0x100000	\Device\HarddiskVolume2\Windows\bootstat.dat
4	System	0xf8a000074c40	0x1f4	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\BIOS
4	System	0xfa8001f219e0	0x1f8	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\SOFTWARE
4	System	0xfa800289a5c0	0x1fc	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\DEFAULT.LOG1
4	System	0xf8a0001008a0	0x200	Key	0x10	MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS
4	System	0xfa8001fb56c0	0x204	File	0x140003	\Device\HarddiskVolume2\pagefile.sys
4	System	0xfa8002d15b00	0x208	Process	0x2a	spoolsv.exe Pid 1120
4	System	0xfa8002830cc0	0x20c	Session	0x1	Session0
4	System	0xf8a0000ff390	0x210	Section	0xf001f	Win32kCrossSessionGlobals
4	System	0xfa80028a3770	0x214	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\DEFAULT
4	System	0xfa800289a980	0x218	File	0x2020003	\Device\HarddiskVolume2\Windows\System32\config\DEFAULT
4	System	0xfa80028a3050	0x21c	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\DEFAULT.LOG2
4	System	0xf8a00000c4d0	0x220	Section	0xf001f	PhysicalMemory
4	System	0xfa8002a31dc0	0x224	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\win32k.sys.mui
4	System	0xf8a000cd98e0	0x228	Token	0xe	
4	System	0xfa8002a2bf20	0x22c	File	0x1200a9	\Device\HarddiskVolume2\Windows\ehome\WTVGOTHIC-S.ttc
4	System	0xf8a000cce110	0x230	Directory	0x4	WindowStations
4	System	0xfa8001a98350	0x234	File	0x1200a9	\Device\HarddiskVolume2\Windows\ehome\malgunmc.ttf
4	System	0xfa8002a5bc80	0x238	IoCompletion	0x1f0003	
4	System	0xfa8001f44e10	0x23c	Session	0x1	Session1
4	System	0xfa8002a51f40	0x240	Event	0x1f0003	UniqueInteractiveSessionIdEvent
4	System	0xfa8002a5a800	0x244	ALPC Port	0x1f0001	
4	System	0xfa8002a5b740	0x248	Thread	0x1fffff	Tid 436 Pid 4
4	System	0xfa8002a5dab0	0x24c	File	0x1200a9	\Device\HarddiskVolume2\Windows\ehome\WTVGOTHIC-S.ttc
4	System	0xfa8002a51730	0x250	Process	0x2a	wininit.exe Pid 404
4	System	0xfa8002a67f20	0x254	File	0x1200a9	\Device\HarddiskVolume2\Windows\ehome\malgunmc.ttf
4	System	0xfa8002ad1780	0x258	File	0x13008b	\Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl
4	System	0xf8a000cdc860	0x25c	Directory	0x4	WindowStations
4	System	0xfa8002a86340	0x264	Process	0x2a	winlogon.exe Pid 464
4	System	0xfa8002acd1f0	0x268	Event	0x1f0003	EventShutDownCSRSS
4	System	0xf8a000db24d0	0x26c	Token	0xe	
4	System	0xfa8002acb740	0x270	Desktop	0xf0003	Disconnect
4	System	0xfa8002ac9e60	0x274	ALPC Port	0x1f0001	
4	System	0xfa8002ad2c80	0x278	File	0x13008b	\Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
4	System	0xfa8002ad1a10	0x27c	File	0x13008b	\Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
4	System	0xfa8002ad25d0	0x280	File	0x13008b	\Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
4	System	0xfa8002a58910	0x284	Desktop	0xf0003	Disconnect
4	System	0xfa8001f44e10	0x288	Session	0x0	Session1
4	System	0xfa8001f44e10	0x28c	Session	0x0	Session1
4	System	0xfa8001f44e10	0x290	Session	0x0	Session1
4	System	0xfa8001f44e10	0x294	Session	0x0	Session1
4	System	0xfa8001f44e10	0x298	Session	0x0	Session1
4	System	0xfa8001f44e10	0x29c	Session	0x0	Session1
4	System	0xfa8002adbb00	0x2a0	Process	0x2a	lsass.exe Pid 516
4	System	0xfa8001f44e10	0x2a4	Session	0x0	Session1
4	System	0xfa8001f44e10	0x2a8	Session	0x0	Session1
4	System	0xfa8001f44e10	0x2ac	Session	0x0	Session1
4	System	0xfa8002ad9420	0x2b0	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\SECURITY
4	System	0xfa8002aac3e0	0x2b4	ALPC Port	0x1f0001	
4	System	0xfa8001f44e10	0x2b8	Session	0x0	Session1
4	System	0xfa8002adbb00	0x2bc	Process	0x2a	lsass.exe Pid 516
4	System	0xfa8002adbb00	0x2c0	Process	0x28	lsass.exe Pid 516
4	System	0xfa8001f44e10	0x2c4	Session	0x0	Session1
4	System	0xfa8002b149d0	0x2c8	ALPC Port	0x1f0001	
4	System	0xfa8002b1d4e0	0x2cc	File	0x2020003	\Device\HarddiskVolume2\Windows\System32\config\SECURITY
4	System	0xfa80028a7f20	0x2d0	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\SECURITY.LOG1
4	System	0xfa8001a68f20	0x2d4	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\SECURITY.LOG2
4	System	0xfa8002adbb00	0x2d8	Process	0x1438	lsass.exe Pid 516
4	System	0xfa80028acd30	0x2dc	ALPC Port	0x1f0001	
4	System	0xfa8002ad8b00	0x2e0	Process	0x2a	services.exe Pid 508
4	System	0xfa8002b0b350	0x2e4	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\SAM
4	System	0xfa8002b0b700	0x2e8	File	0x2020003	\Device\HarddiskVolume2\Windows\System32\config\SAM
4	System	0xfa8002b0b540	0x2ec	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\SAM.LOG1
4	System	0xfa8002b00f20	0x2f0	File	0x2000003	\Device\HarddiskVolume2\Windows\System32\config\SAM.LOG2
4	System	0xfa8002ad8b00	0x2f4	Process	0x2a	services.exe Pid 508
4	System	0xfa8002b4f720	0x2f8	Process	0x2a	svchost.exe Pid 628
4	System	0xfa8002ae6b00	0x2fc	Process	0x2a	lsm.exe Pid 524
4	System	0xfa8002ad8b00	0x300	Process	0x2a	services.exe Pid 508
4	System	0xfa8002b778e0	0x304	File	0x12019f	\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
4	System	0xfa8002b702e0	0x308	File	0x3	\Device\HarddiskVolume2
4	System	0xfa8002b6be60	0x30c	ALPC Port	0x1f0001	
4	System	0xfa8002b4f720	0x310	Process	0x2a	svchost.exe Pid 628
4	System	0xfa8002b78a70	0x314	File	0x2000003	\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1
4	System	0xfa8002b78070	0x318	File	0x2020003	\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT
4	System	0xfa8002b784d0	0x31c	File	0x2000003	\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
4	System	0xfa8002b77070	0x320	File	0x12019f	\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
4	System	0xfa8002b52f20	0x324	File	0x12019f	\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms
4	System	0xfa8009dfe8f0	0x328	TmRm	0x1f007f	
4	System	0xfa8002b1acd0	0x32c	File	0x12019f	\Device\clfs\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM
4	System	0xfa8002b1a3a0	0x330	File	0x12019f	\Device\clfs\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM
4	System	0xfa8009dfebb0	0x334	TmRm	0x1f007f	
4	System	0xfa8002b1a4e0	0x338	TmTm	0xf003f	
4	System	0xf8a000f8d870	0x33c	Directory	0xf000f	00000000-000003e4
4	System	0xfa8002b4f720	0x340	Process	0x2a	svchost.exe Pid 628
4	System	0xfa8002b7bb00	0x344	Process	0x2a	svchost.exe Pid 696
4	System	0xf8a000f8b1b0	0x348	Key	0x9	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\QUOTA SYSTEM
4	System	0xfa8002b7bb00	0x34c	Process	0x2a	svchost.exe Pid 696
4	System	0xf8a000f90aa0	0x350	Token	0xf01ff	
4	System	0xfa8002ba0b00	0x354	Process	0x2a	svchost.exe Pid 744
4	System	0xfa8002aa6580	0x358	File	0x12019f	\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
4	System	0xfa8002aa8bf0	0x35c	File	0x2020003	\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT
4	System	0xfa8002aa8f20	0x360	File	0x2000003	\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG1
4	System	0xfa8002aa22b0	0x364	File	0x2000003	\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG2
4	System	0xfa8002aa6f20	0x368	File	0x12019f	\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
4	System	0xfa8002aa5bf0	0x36c	File	0x12019f	\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms
4	System	0xfa8002b9d9a0	0x370	TmRm	0x1f007f	
4	System	0xfa8002aa5440	0x374	File	0x12019f	\Device\clfs\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM
4	System	0xfa8002aa2690	0x378	File	0x12019f	\Device\clfs\Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM
4	System	0xfa8002aa4c60	0x37c	TmRm	0x1f007f	
4	System	0xfa8002aa3c40	0x380	TmTm	0xf003f	
4	System	0xf8a001018340	0x384	Directory	0xf000f	00000000-000003e5
4	System	0xf8a000cef750	0x388	Token	0xf01ff	
4	System	0xf8a00101c060	0x38c	Token	0xf01ff	
4	System	0xfa8002c00280	0x390	Process	0x2a	svchost.exe Pid 868
4	System	0xfa8010198f20	0x394	File	0x2000003	\Device\HarddiskVolume2\System Volume Information\Syscache.hve.LOG1
4	System	0xfa8002c41c60	0x398	File	0x12019f	\Device\Tcp
4	System	0xf8a0010b2fa0	0x39c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\BTHPORT\PARAMETERS
4	System	0xfa8002ba0b00	0x3a0	Process	0x28	svchost.exe Pid 744
4	System	0xf8a000e64da0	0x3a4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\BTHPORT\PARAMETERS\KEYS\90E8682D3FFA
4	System	0xfa8002ba0b00	0x3a8	Process	0x28	svchost.exe Pid 744
4	System	0xfa8002c00280	0x3ac	Process	0x2a	svchost.exe Pid 868
4	System	0xfa8002ba0b00	0x3b0	Process	0x2a	svchost.exe Pid 744
